,generations,population,"(p,d,q)","(P,D,Q)",AIC,Time
67,20,500,"(1, 0, 1)","(1, 0, 1, 12)",-156.0596223111495,275981.24368810654
68,20,500,"(1, 0, 1)","(2, 0, 2, 12)",-156.01802552083666,275981.24368810654
69,20,500,"(1, 0, 1)","(2, 0, 2, 12)",-156.01802552083666,275981.24368810654
-----------------------------------------------------------------------------------------
70,50,10,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,6115.3078780174255
71,50,10,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,6115.3078780174255
72,50,10,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,6115.3078780174255
73,50,10,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,6115.3078780174255
74,50,10,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278,6115.3078780174255
75,50,50,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,33305.31391978264
76,50,50,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,33305.31391978264
77,50,50,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,33305.31391978264
78,50,50,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,33305.31391978264
79,50,50,"(12, 1, 0)","(0, 0, 1, 12)",-159.62155215479248,33305.31391978264
80,50,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,59665.79244041443
81,50,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,59665.79244041443
82,50,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,59665.79244041443
83,50,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,59665.79244041443
84,50,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,59665.79244041443
85,50,200,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533,153263.91948771477
86,50,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,153263.91948771477
87,50,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,153263.91948771477
88,50,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,153263.91948771477
89,50,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,153263.91948771477
90,50,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888,203063.54811811447
