,generations,population,(p,d,q),(P,D,Q),AIC
52,20,200,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278
53,20,200,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278
54,20,200,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278


55,20,300,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
56,20,300,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278
57,20,300,(0, 0, 3),(2, 0, 2, 12),-156.90810414867758
58,20,300,(0, 0, 3),(2, 0, 2, 12),-156.90810414867758
59,20,300,(0, 0, 1),(1, 0, 1, 12),-156.64611196801349

60,20,400,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
61,20,400,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
62,20,400,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
63,20,400,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
64,20,400,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278

65,20,500,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278
66,20,500,(0, 0, 3),(2, 0, 2, 12),-156.90810414867758
67,20,500,(0, 0, 3),(2, 0, 2, 12),-156.90810414867758
68,20,500,(2, 0, 0),(2, 0, 2, 12),-156.2980143299007
69,20,500,(2, 0, 0),(2, 0, 2, 12),-156.2980143299007
-------------------------------------------------------------------
70,50,10,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278
71,50,10,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278
72,50,10,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278
73,50,10,(1, 0, 0),(2, 0, 2, 12),-157.86456320697278
74,50,10,(1, 0, 0),(2, 1, 2, 12),-153.908062551554


75,50,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
76,50,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
77,50,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
78,50,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
79,50,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888

80,50,100,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
81,50,100,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
82,50,100,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
83,50,100,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888
84,50,100,(1, 0, 0),(1, 0, 1, 12),-159.49666862558888

85,50,200,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533
86,50,200,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533
87,50,200,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533
88,50,200,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533
89,50,200,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533

90,50,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
91,50,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
92,50,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
93,50,300,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278
94,50,300,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278


95,50,400,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103
96,50,400,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103
97,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
98,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
99,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888

95,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
96,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
97,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
98,50,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
99,50,400,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278

100,50,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
101,50,500,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278
102,50,500,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278
103,50,500,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278
104,50,500,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278
-------------------------------------------------------------------
105,100,10,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533
106,100,10,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533
107,100,10,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533
108,100,10,(9, 0, 8),(0, 0, 0, 12),-161.65747548647533
109,100,10,(9, 1, 3),(0, 0, 0, 12),-130.35004522743117


110,100,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
111,100,50,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
112,100,50,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278
113,100,50,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278
114,100,50,"(1, 0, 0)","(2, 0, 2, 12)",-157.86456320697278


115,100,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
116,100,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
117,100,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
118,100,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
119,100,100,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888

120,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
121,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
122,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
123,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
124,100,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888

125,100,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
126,100,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
127,100,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
128,100,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
129,100,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888

130,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
131,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
132,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
133,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
134,100,400,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888

135,100,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
136,100,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
137,100,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
138,100,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
139,100,500,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
---------------------------------------------------------------------
140,200,10,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758
141,200,10,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758
142,200,10,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758
143,200,10,"(0, 0, 3)","(2, 0, 2, 12)",-156.90810414867758
144,200,10,"(0, 1, 3)","(2, 0, 2, 12)",-149.70974124674075

145,200,50,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
146,200,50,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
147,200,50,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
148,200,50,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
149,200,50,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533

150,200,100,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
151,200,100,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103
152,200,100,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103
153,200,100,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103
154,200,100,"(6, 0, 7)","(0, 0, 0, 12)",-159.69823039208103

155,200,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
156,200,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
157,200,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
158,200,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
159,200,200,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888

160,200,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
161,200,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
162,200,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
163,200,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
164,200,300,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888

165,200,400,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
166,200,400,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
167,200,400,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
168,200,400,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533
169,200,400,"(9, 0, 8)","(0, 0, 0, 12)",-161.65747548647533

170,200,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
171,200,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
172,200,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
173,200,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
174,200,500,"(1, 0, 0)","(1, 0, 1, 12)",-159.49666862558888
